|Run	|Epoch	#UnitErr	#PctErr	#PctCor	#CosDiff	#PerTrlMSec	#V4 ActAvg	#V4 Hog	#V4 Dead	#V4 Gnmda	#V4 GgabaB	#IT ActAvg	#IT Hog	#IT Dead	#IT Gnmda	#IT GgabaB	#Output ActAvg	#Output Hog	#Output Dead	#Output Gnmda	#Output GgabaB
6	0	0.05	1	0	0.009828	0	0.03494	0	0	0.04954	0.1453	0.04433	0	0	0.04012	0.03921	0.0419	0	0	0.01036	0.002458
6	1	0.05	1	0	0.02903	194.3	0.03354	0	0	0.05822	0.08598	0.03378	0	0	0.03658	0.03389	0.04376	0	0	0.01627	0.002487
6	2	0.05	1	0	0.1028	193.5	0.03401	0	0	0.07712	0.154	0.03017	0	0	0.0371	0.03888	0.04452	0	0	0.01633	0.003031
6	3	0.05	1	0	0.2452	190.6	0.03529	0	0	0.06485	0.1266	0.02837	0	0	0.0507	0.06003	0.04427	0	0	0.009346	0.002935
6	4	0.05	1	0	0.3074	191.9	0.03733	0	0	0.07658	0.2459	0.02812	0	0	0.05202	0.08009	0.04485	0	0	0.0182	0.00406
6	5	0.049	0.98	0.02	0.4269	190.4	0.03904	0	0.1376	0.06559	0.1757	0.02954	0	0.1016	0.04937	0.06265	0.04336	0	0.1	0.01494	0.002846
6	6	0.049	0.96	0.04	0.5653	190.6	0.04016	0	0.2552	0.08698	0.2457	0.03065	0	0.1797	0.03391	0.02929	0.04302	0	0.1	0.01606	0.005346
6	7	0.043	0.85	0.15	0.5997	188.9	0.04132	0	0.3228	0.07392	0.1682	0.03356	0	0.2109	0.06115	0.1399	0.04321	0	0.1	0.01851	0.003067
6	8	0.043	0.85	0.15	0.6667	191.1	0.0422	0	0.352	0.07719	0.1521	0.03545	0	0.2109	0.04507	0.05813	0.04289	0	0.1	0.02928	0.007014
6	9	0.036	0.71	0.29	0.6847	190.8	0.04363	0	0.3696	0.06079	0.09438	0.03729	0	0.2148	0.05465	0.0914	0.0437	0	0.1	0.017	0.003363
6	10	0.0355	0.67	0.33	0.7101	190.3	0.04527	0	0.3792	0.07862	0.1492	0.03989	0	0.2031	0.04265	0.05517	0.04265	0	0.1	0.01798	0.00586
6	11	0.032	0.62	0.38	0.7693	191.1	0.04671	0	0.3804	0.0837	0.1809	0.04214	0	0.1914	0.05424	0.1095	0.04381	0	0.1	0.02601	0.00431
6	12	0.0245	0.49	0.51	0.7622	190	0.0477	0	0.3876	0.09231	0.1809	0.04449	0	0.1914	0.05633	0.08966	0.0438	0	0.1	0.03482	0.008135
6	13	0.027	0.51	0.49	0.731	190.3	0.04899	0	0.3968	0.07807	0.2107	0.04688	0	0.1953	0.04247	0.05313	0.04351	0	0.1	0.02822	0.005897
6	14	0.024	0.47	0.53	0.7445	191	0.04962	0	0.3964	0.09901	0.2516	0.04867	0	0.1875	0.06749	0.1041	0.04428	0	0.1	0.02615	0.006035
6	15	0.0205	0.36	0.64	0.8058	190.7	0.05092	0	0.402	0.07619	0.1884	0.05049	0	0.1797	0.07213	0.1389	0.04418	0	0.1	0.03012	0.007051
6	16	0.0225	0.4	0.6	0.7925	190.4	0.05132	0	0.3984	0.08129	0.1412	0.05172	0	0.1719	0.05274	0.06533	0.04263	0	0.1	0.01991	0.002131
6	17	0.017	0.3	0.7	0.8187	191.4	0.05248	0	0.4036	0.09592	0.1609	0.0539	0	0.1719	0.07118	0.1224	0.04347	0	0.1	0.02633	0.008872
6	18	0.0165	0.27	0.73	0.8244	190.2	0.0537	0	0.4076	0.08591	0.2574	0.0555	0	0.168	0.06163	0.09136	0.04408	0	0.1	0.03144	0.008297
6	19	0.0115	0.2	0.8	0.8327	192	0.05382	0	0.3968	0.08616	0.1997	0.05828	0	0.1758	0.06843	0.09606	0.04415	0	0.1	0.02605	0.004594
6	20	0.0165	0.26	0.74	0.8276	189.1	0.05374	0	0.4092	0.09784	0.1488	0.06155	0	0.1641	0.06922	0.1126	0.04361	0	0.1	0.02966	0.003864
6	21	0.01	0.16	0.84	0.8669	190.8	0.05522	0	0.4012	0.08465	0.1261	0.0638	0	0.1602	0.06655	0.09658	0.04448	0	0.1	0.02214	0.003601
6	22	0.0145	0.23	0.77	0.821	191.4	0.05616	0	0.4032	0.081	0.1842	0.06565	0	0.1641	0.05425	0.05582	0.04396	0	0.1	0.01927	0.00398
6	23	0.0155	0.28	0.72	0.7798	191.9	0.05575	0	0.4	0.08856	0.2919	0.06812	0	0.1602	0.05507	0.0949	0.044	0	0.1	0.0303	0.003754
6	24	0.0125	0.22	0.78	0.8369	190.4	0.05719	0	0.4016	0.09567	0.1898	0.07092	0	0.1641	0.07126	0.107	0.04496	0	0.1	0.04037	0.00928
6	25	0.0155	0.25	0.75	0.7926	191.2	0.05807	0	0.404	0.1111	0.6601	0.07262	0	0.1758	0.06137	0.119	0.04389	0	0.1	0.02583	0.003371
6	26	0.008	0.14	0.86	0.8591	192	0.05752	0	0.4092	0.09941	0.2564	0.07422	0	0.1641	0.04746	0.0658	0.04374	0	0.1	0.02331	0.001841
6	27	0.0135	0.23	0.77	0.8158	191.6	0.05851	0	0.4088	0.121	0.2852	0.07688	0	0.1523	0.09707	0.3277	0.04271	0	0.1	0.02857	0.004758
6	28	0.012	0.19	0.81	0.8229	191	0.05857	0	0.406	0.1024	0.3016	0.07787	0	0.1562	0.04776	0.08519	0.0429	0	0.1	0.02006	0.002106
6	29	0.0145	0.21	0.79	0.7973	192.2	0.05933	0	0.4056	0.08366	0.2158	0.08053	0	0.1523	0.082	0.1492	0.04318	0	0.1	0.03448	0.004231
6	30	0.0125	0.2	0.8	0.8182	191.9	0.05912	0	0.4004	0.09602	0.3047	0.08171	0	0.1602	0.08512	0.1964	0.04372	0	0.1	0.03725	0.004933
6	31	0.0175	0.26	0.74	0.7909	192.6	0.05999	0	0.3972	0.1186	0.3325	0.08339	0	0.1562	0.1406	0.879	0.04391	0	0.1	0.03942	0.02936
6	32	0.0145	0.22	0.78	0.8225	193.7	0.06059	0	0.3948	0.1092	0.2643	0.08531	0	0.1562	0.06867	0.1571	0.04362	0	0.1	0.03397	0.002691
6	33	0.0195	0.31	0.69	0.7456	191.4	0.06094	0	0.3992	0.1104	0.2597	0.08807	0	0.1445	0.07095	0.1918	0.04324	0	0.1	0.01529	0.00253
6	34	0.016	0.26	0.74	0.7567	194.7	0.06037	0	0.4048	0.09667	0.4413	0.08996	0	0.1523	0.1043	0.2907	0.04395	0	0.1	0.0245	0.006155
6	35	0.0175	0.25	0.75	0.7892	193.8	0.06095	0	0.4108	0.1213	0.2247	0.09276	0	0.1445	0.07897	0.152	0.04308	0	0.1	0.02588	0.008077
6	36	0.0195	0.31	0.69	0.784	192.1	0.06081	0	0.4148	0.1362	0.6283	0.09391	0	0.1445	0.1499	0.8513	0.04417	0	0.1	0.04063	0.02379
6	37	0.0145	0.24	0.76	0.766	192.6	0.06205	0	0.4068	0.1028	0.3854	0.09494	0	0.1406	0.09681	0.4706	0.04419	0	0.1	0.03857	0.01481
6	38	0.0145	0.22	0.78	0.8099	192.4	0.06169	0	0.4116	0.08245	0.2032	0.09762	0	0.1445	0.1111	0.578	0.04336	0	0.1	0.03585	0.01778
6	39	0.0155	0.24	0.76	0.8028	192.5	0.06153	0	0.4068	0.1128	0.266	0.09612	0	0.1406	0.06024	0.07248	0.04379	0	0.1	0.0157	0.00295
6	40	0.012	0.2	0.8	0.7998	193.7	0.06183	0	0.402	0.1483	0.4407	0.09699	0	0.1406	0.1635	0.7212	0.04368	0	0.1	0.02766	0.02539
6	41	0.0125	0.19	0.81	0.799	193.4	0.0619	0	0.4088	0.1092	0.2981	0.0989	0	0.1484	0.1011	0.4196	0.04432	0	0.1	0.0313	0.00617
6	42	0.018	0.25	0.75	0.7862	193.9	0.06303	0	0.4104	0.1236	0.2013	0.1001	0	0.1367	0.1233	0.6221	0.04411	0	0.1	0.03052	0.006902
6	43	0.017	0.24	0.76	0.7658	198.4	0.06216	0	0.4092	0.1026	0.3313	0.1003	0	0.1328	0.09003	0.2468	0.0441	0	0.1	0.02653	0.00488
6	44	0.016	0.23	0.77	0.7691	201.5	0.06264	0	0.408	0.1098	0.3174	0.1027	0	0.1445	0.1063	0.319	0.04443	0	0.1	0.01688	0.005061
6	45	0.017	0.26	0.74	0.7887	195.5	0.06296	0	0.4092	0.1131	0.4777	0.1036	0	0.1367	0.06071	0.178	0.04279	0	0.1	0.0249	0.003833
6	46	0.0115	0.2	0.8	0.7975	192.3	0.06262	0	0.4116	0.0814	0.1309	0.1056	0	0.1445	0.07245	0.2356	0.04341	0	0.1	0.02338	0.002476
6	47	0.021	0.34	0.66	0.7433	193.7	0.06291	0	0.4092	0.1029	0.3874	0.1057	0	0.1406	0.07367	0.1513	0.04281	0	0.1	0.01486	0.001525
6	48	0.019	0.31	0.69	0.7139	192.9	0.06327	0	0.4096	0.08567	0.1579	0.1067	0	0.1445	0.1003	0.3014	0.04353	0	0.1	0.02926	0.003114
6	49	0.017	0.26	0.74	0.741	193.8	0.06298	0	0.4144	0.1057	0.5175	0.1081	0	0.1445	0.1743	1.319	0.04339	0	0.1	0.05195	0.0292
6	50	0.0175	0.22	0.78	0.763	193.6	0.06391	0	0.4132	0.08997	0.1922	0.1096	0	0.1445	0.05243	0.125	0.04359	0	0.1	0.01359	0.001328
6	51	0.0195	0.31	0.69	0.6954	194.1	0.06349	0	0.4128	0.13	0.3104	0.1116	0	0.1562	0.06597	0.1652	0.04406	0	0.1	0.01768	0.002101
6	52	0.0205	0.32	0.68	0.7291	192.6	0.06385	0	0.408	0.0877	0.1983	0.1098	0	0.1523	0.05501	0.2279	0.04377	0	0.1	0.02599	0.002275
6	53	0.0195	0.3	0.7	0.7085	193.2	0.06271	0	0.4104	0.1069	0.1599	0.1113	0	0.1484	0.07098	0.2213	0.04427	0	0.1	0.0175	0.00178
6	54	0.019	0.27	0.73	0.6927	195.4	0.06254	0	0.4156	0.08288	0.1585	0.1106	0	0.1523	0.1209	0.5153	0.04365	0	0.1	0.02861	0.01563
6	55	0.0175	0.3	0.7	0.7337	194.2	0.06493	0	0.4116	0.08919	0.3608	0.112	0	0.1523	0.1275	0.4264	0.04373	0	0.1	0.02519	0.004049
6	56	0.0145	0.24	0.76	0.7538	193.4	0.0631	0	0.4084	0.07277	0.1071	0.1112	0	0.1523	0.1063	0.1931	0.04457	0	0.1	0.02788	0.004453
6	57	0.0235	0.34	0.66	0.6835	194.2	0.06421	0	0.41	0.09038	0.154	0.1142	0	0.1562	0.07828	0.2657	0.04388	0	0.1	0.03188	0.001398
6	58	0.0265	0.4	0.6	0.6809	194	0.06374	0	0.41	0.1032	0.6034	0.1141	0	0.1445	0.1334	0.8034	0.04457	0	0.1	0.06085	0.03632
6	59	0.0215	0.37	0.63	0.7048	193.6	0.06398	0	0.4084	0.09643	0.1917	0.1144	0	0.1523	0.1061	0.3585	0.04416	0	0.1	0.05638	0.01471
6	60	0.0215	0.37	0.63	0.7026	195.5	0.06439	0	0.4076	0.1004	0.6836	0.1144	0	0.1523	0.1281	0.4304	0.04331	0	0.1	0.0322	0.006864
6	61	0.02	0.31	0.69	0.6955	195	0.06385	0	0.4096	0.08967	0.2468	0.1154	0	0.1602	0.1486	0.3056	0.04419	0	0.1	0.01945	0.002865
6	62	0.0225	0.39	0.61	0.6745	193.6	0.06415	0	0.4084	0.1031	0.3425	0.1154	0	0.1641	0.1184	0.317	0.04458	0	0.1	0.01598	0.008041
6	63	0.0175	0.29	0.71	0.7209	193.1	0.06283	0	0.4096	0.07955	0.3612	0.1142	0	0.1602	0.06664	0.1601	0.04446	0	0.1	0.02347	0.002094
6	64	0.0265	0.43	0.57	0.6469	194.8	0.06368	0	0.4056	0.08154	0.2621	0.1147	0	0.1484	0.1059	0.4904	0.04393	0	0.1	0.06351	0.02422
6	65	0.028	0.44	0.56	0.6404	194.3	0.06377	0	0.4068	0.08888	0.1345	0.1178	0	0.1445	0.1075	0.2583	0.04411	0	0.1	0.02073	0.003214
6	66	0.0235	0.37	0.63	0.6614	193.9	0.06367	0	0.408	0.09928	0.822	0.1161	0	0.1523	0.1302	0.5301	0.04445	0	0.1	0.06219	0.018
6	67	0.025	0.45	0.55	0.6664	193	0.06377	0	0.412	0.1072	0.1544	0.1175	0	0.1641	0.05814	0.1321	0.04449	0	0.1	0.01301	0.001302
6	68	0.0275	0.44	0.56	0.6374	193.4	0.06461	0	0.4128	0.0936	0.2746	0.1181	0	0.168	0.08047	0.2098	0.04434	0	0.1	0.04993	0.009231
6	69	0.0265	0.45	0.55	0.6503	192.9	0.06456	0	0.412	0.1195	0.1791	0.1182	0	0.1641	0.112	0.258	0.04476	0	0.1	0.01985	0.003365
6	70	0.029	0.5	0.5	0.6016	192.5	0.0643	0	0.4104	0.09958	0.3676	0.1185	0	0.1641	0.1205	0.437	0.04401	0	0.1	0.06546	0.02195
6	71	0.0245	0.46	0.54	0.6465	192.5	0.0642	0	0.4124	0.07837	0.1888	0.1205	0	0.168	0.09676	0.4034	0.04493	0	0.1	0.05343	0.01478
6	72	0.03	0.5	0.5	0.5853	192.6	0.06502	0	0.4092	0.1101	0.2752	0.1211	0	0.1719	0.179	1.17	0.04369	0	0.1	0.07538	0.04109
6	73	0.0325	0.53	0.47	0.6152	192.4	0.06551	0	0.4116	0.1114	0.3959	0.1225	0	0.1719	0.1326	0.2739	0.04297	0	0.1	0.01609	0.007156
6	74	0.037	0.61	0.39	0.58	193	0.06507	0	0.4124	0.09951	0.2283	0.1208	0	0.1719	0.1152	0.2856	0.04377	0	0.1	0.02144	0.003534
6	75	0.0285	0.47	0.53	0.6265	192.9	0.06485	0	0.4092	0.107	0.1803	0.12	0	0.1641	0.1004	0.1897	0.04446	0	0.1	0.01298	0.002231
6	76	0.035	0.59	0.41	0.5617	192.9	0.06505	0	0.41	0.09188	0.1577	0.1224	0	0.168	0.08185	0.08611	0.04354	0	0.1	0.02703	0.0009207
6	77	0.042	0.68	0.32	0.5283	191.9	0.06398	0	0.4096	0.09376	0.2289	0.1206	0	0.168	0.07183	0.1029	0.04424	0	0.1	0.01805	0.0008042
6	78	0.0265	0.48	0.52	0.6233	192.1	0.06391	0	0.4096	0.1246	0.182	0.1209	0	0.1602	0.09838	0.09381	0.04387	0	0.1	0.01491	0.0021
6	79	0.0365	0.58	0.42	0.5392	192.7	0.06569	0	0.4116	0.08147	0.1892	0.1267	0	0.1719	0.05213	0.08099	0.04398	0	0.1	0.0122	0.0004547
6	80	0.035	0.61	0.39	0.5375	194.1	0.06429	0	0.4092	0.1169	0.1968	0.1224	0	0.1602	0.2049	0.3817	0.04453	0	0.1	0.03704	0.007708
6	81	0.0365	0.64	0.36	0.5486	194.8	0.06568	0	0.41	0.09323	0.3796	0.1238	0	0.168	0.09894	0.1678	0.04321	0	0.1	0.01376	0.002982
6	82	0.037	0.65	0.35	0.5947	193.1	0.0656	0	0.4108	0.08807	0.4764	0.1234	0	0.1719	0.09666	0.1955	0.0438	0	0.1	0.01823	0.003981
6	83	0.0385	0.64	0.36	0.5248	193.2	0.06469	0	0.4108	0.08734	0.2547	0.1241	0	0.168	0.09385	0.1719	0.04385	0	0.1	0.02694	0.002399
6	84	0.0385	0.64	0.36	0.5434	192.8	0.06389	0	0.4104	0.1195	0.235	0.1232	0	0.168	0.1099	0.1478	0.04389	0	0.1	0.02616	0.002493
6	85	0.043	0.71	0.29	0.5199	193.3	0.06446	0	0.4096	0.08875	0.1708	0.123	0	0.1641	0.09788	0.1457	0.04362	0	0.1	0.01591	0.004353
6	86	0.034	0.6	0.4	0.5639	194.8	0.0632	0	0.4068	0.0861	0.2946	0.122	0	0.1562	0.1041	0.3405	0.0436	0	0.1	0.0734	0.01332
6	87	0.04	0.68	0.32	0.5404	194	0.06407	0	0.4096	0.09588	0.45	0.1254	0	0.1484	0.07936	0.1673	0.04417	0	0.1	0.01483	0.003391
6	88	0.043	0.73	0.27	0.4563	192.1	0.06444	0	0.4104	0.06823	0.1509	0.1257	0	0.1523	0.04453	0.04925	0.0434	0	0.1	0.008427	0.0007369
6	89	0.0335	0.59	0.41	0.5476	193.5	0.06534	0	0.4092	0.08433	0.1605	0.1253	0	0.1562	0.06801	0.1011	0.04396	0	0.1	0.02327	0.001746
6	90	0.0355	0.63	0.37	0.5395	192.7	0.06413	0	0.4084	0.09698	0.2636	0.1234	0	0.1523	0.1136	0.2921	0.04386	0	0.1	0.01709	0.005361
6	91	0.039	0.72	0.28	0.531	192	0.06588	0	0.4088	0.08944	0.1146	0.1264	0	0.1562	0.1159	0.1544	0.04408	0	0.1	0.03419	0.00371
6	92	0.037	0.67	0.33	0.5117	192.5	0.06629	0	0.4072	0.08668	0.1099	0.126	0	0.1562	0.06672	0.06732	0.0436	0	0.1	0.02331	0.002602
6	93	0.04	0.77	0.23	0.527	192.3	0.06464	0	0.4068	0.1029	0.6486	0.1225	0	0.1641	0.1203	0.3641	0.04196	0	0.1	0.08256	0.01966
6	94	0.0375	0.69	0.31	0.5408	191.4	0.06533	0	0.4084	0.1208	0.3343	0.1264	0	0.1562	0.1506	0.3969	0.04175	0	0.1	0.01752	0.006905
6	95	0.0415	0.77	0.23	0.5012	192.5	0.06541	0	0.4096	0.07646	0.1107	0.128	0	0.1602	0.07909	0.08977	0.04299	0	0.1	0.0184	0.0009312
6	96	0.041	0.79	0.21	0.4721	192.1	0.06504	0	0.41	0.09311	0.3365	0.1267	0	0.1602	0.1202	0.3897	0.04391	0	0.1	0.08174	0.01453
6	97	0.039	0.74	0.26	0.513	191.5	0.06636	0	0.4092	0.09264	0.1728	0.1282	0	0.168	0.111	0.1708	0.04337	0	0.1	0.01395	0.002695
6	98	0.0435	0.78	0.22	0.5016	192.3	0.06485	0	0.4092	0.1009	0.1458	0.1246	0	0.1641	0.09485	0.1875	0.04347	0	0.1	0.06741	0.0077
